<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.01.01	1253.967	1278.654	1231.360	1243.995	1086074	0	0
2014.02.01	1243.734	1345.266	1240.720	1326.199	1626329	0	0
2014.03.01	1326.025	1391.931	1282.360	1284.364	2212028	0	0
2014.04.01	1284.351	1331.036	1268.438	1291.530	1852295	0	0
2014.05.01	1291.566	1315.443	1242.173	1249.322	1766008	0	0
2014.06.01	1249.224	1329.297	1240.333	1326.230	1651345	0	0
2014.07.01	1326.233	1344.889	1280.418	1282.943	1743028	0	0
2014.08.01	1282.878	1322.545	1272.873	1286.577	1362614	0	0
2014.09.01	1286.575	1289.779	1204.462	1207.831	1541868	0	0
2014.10.01	1207.830	1255.060	1161.127	1171.730	1816571	0	0
2014.11.01	1170.916	1207.600	1131.425	1150.723	1770186	0	0
2014.12.01	1150.674	1238.095	1146.601	1184.046	1907672	0	0
2015.01.01	1183.090	1307.178	1167.226	1283.266	1858912	0	0
2015.02.01	1281.812	1285.538	1189.176	1212.857	1366033	0	0
2015.03.01	1213.676	1223.072	1142.795	1183.506	1370310	0	0
2015.04.01	1183.499	1224.052	1175.153	1184.300	1347625	0	0
2015.05.01	1184.326	1232.227	1170.069	1191.187	1258008	0	0
2015.06.01	1191.164	1205.573	1162.671	1172.516	1228311	0	0
2015.07.01	1172.506	1174.993	1077.035	1095.192	1882484	0	0
2015.08.01	1094.678	1169.820	1080.935	1134.728	1907410	0	0
2015.09.01	1134.711	1156.568	1098.676	1115.054	1716859	0	0
2015.10.01	1115.058	1191.352	1104.518	1141.800	1941856	0	0
2015.11.01	1141.734	1142.837	1052.597	1064.134	1801208	0	0
2015.12.01	1064.137	1088.690	1046.247	1060.965	2025262	0	0
2016.01.01	1061.955	1127.933	1061.692	1117.547	2248718	0	0
2016.02.01	1117.516	1263.254	1116.858	1240.237	2328216	0	0
2016.03.01	1240.244	1283.454	1205.978	1231.578	2552192	0	0
2016.04.01	1231.606	1296.518	1208.898	1292.678	2354541	0	0
2016.05.01	1292.365	1303.586	1199.566	1216.620	2281431	0	0
2016.06.01	1216.635	1358.069	1205.903	1321.697	2099801	0	0
2016.07.01	1321.709	1374.993	1310.551	1348.872	1951461	0	0
2016.08.01	1348.839	1367.070	1304.280	1309.511	1685875	0	0
